date,produit,prix,qte,region
2022-01-01,Produit A,10,100,Nord
2022-01-02,Produit B,15,50,Nord
2022-01-02,Produit A,10,75,Sud
2022-01-03,Produit C,20,30,Nord
2022-01-03,Produit A,10,150,Sud
2022-01-04,Produit B,15,75,Nord
2022-01-04,Produit C,20,50,Sud
2022-01-05,Produit A,10,125,Nord
2022-01-05,Produit B,15,100,Sud
2022-01-06,Produit C,20,25,Nord
2022-01-06,Produit A,10,100,Sud
2022-01-07,Produit B,15,60,Nord
2022-01-07,Produit C,20,40,Sud
2022-01-08,Produit A,10,80,Nord
2022-01-08,Produit B,15,90,Sud
2022-01-09,Produit C,20,35,Nord
2022-01-09,Produit A,10,120,Sud
2022-01-10,Produit B,15,70,Nord
2022-01-10,Produit C,20,60,Sud
2022-01-11,Produit A,10,150,Nord
2022-01-11,Produit B,15,80,Sud
2022-01-12,Produit C,20,40,Nord
2022-01-12,Produit A,10,200,Sud
2022-01-13,Produit B,15,100,Nord
2022-01-13,Produit C,20,60,Sud
2022-01-14,Produit A,10,120,Nord
2022-01-14,Produit B,15,50,Sud
2022-01-15,Produit C,20,30,Nord
2022-01-15,Produit A,10,75,Sud
2022-01-16,Produit B,15,90,Nord
2022-01-16,Produit C,20,75,Sud
2022-01-17,Produit A,10,180,Nord
2022-01-17,Produit B,15,100,Sud
2022-01-18,Produit C,20,50,Nord
2022-01-18,Produit A,10,150,Sud
2022-01-19,Produit B,15,70,Nord
2022-01-19,Produit C,20,80,Sud
2022-01-20,Produit A,10,125,Nord
2022-01-20,Produit B,15,120,Sud
2022-01-21,Produit D,25,40,Est
2022-01-21,Produit A,10,90,Nord
2022-01-22,Produit B,15,110,Sud
2022-01-22,Produit D,25,35,Est
2022-01-23,Produit C,20,45,Nord
2022-01-23,Produit A,10,130,Est
2022-01-24,Produit D,25,50,Sud
2022-01-24,Produit B,15,80,Nord
2022-01-25,Produit A,10,160,Sud
2022-01-25,Produit C,20,55,Est
2022-01-26,Produit D,25,45,Nord
2022-01-26,Produit B,15,95,Sud
2022-01-27,Produit A,10,140,Est
2022-01-27,Produit C,20,70,Nord
2022-01-28,Produit D,25,60,Sud
2022-01-28,Produit B,15,85,Est
2022-01-29,Produit A,10,110,Nord
2022-01-29,Produit C,20,40,Sud
2022-01-30,Produit D,25,55,Est
2022-01-30,Produit B,15,100,Nord
2022-01-31,Produit A,10,175,Sud
2022-01-31,Produit C,20,65,Est
2022-02-01,Produit D,25,70,Nord
2022-02-01,Produit A,10,120,Sud
2022-02-02,Produit B,15,90,Est
2022-02-02,Produit C,20,50,Nord
2022-02-03,Produit A,10,145,Est
2022-02-03,Produit D,25,40,Sud
2022-02-04,Produit B,15,115,Nord
2022-02-04,Produit C,20,60,Est
2022-02-05,Produit A,10,130,Sud
2022-02-05,Produit D,25,45,Nord
2022-02-06,Produit C,20,75,Est
2022-02-06,Produit B,15,100,Sud
2022-02-07,Produit A,10,155,Nord
2022-02-07,Produit D,25,55,Est
2022-02-08,Produit B,15,80,Sud
2022-02-08,Produit C,20,45,Nord
2022-02-09,Produit A,10,170,Est
2022-02-09,Produit D,25,65,Sud
2022-02-10,Produit B,15,105,Nord
2022-02-10,Produit C,20,55,Est
2022-02-11,Produit A,10,140,Sud
2022-02-11,Produit D,25,50,Nord
2022-02-12,Produit C,20,80,Est
2022-02-12,Produit B,15,95,Sud
2022-02-13,Produit A,10,165,Nord
2022-02-13,Produit D,25,60,Est
2022-02-14,Produit B,15,110,Sud
2022-02-14,Produit C,20,50,Nord
2022-02-15,Produit A,10,150,Est
2022-02-15,Produit D,25,75,Sud
2022-02-16,Produit B,15,90,Nord
2022-02-16,Produit C,20,65,Est
2022-02-17,Produit A,10,180,Sud
2022-02-17,Produit D,25,55,Nord
2022-02-18,Produit C,20,45,Est
2022-02-18,Produit B,15,100,Sud
2022-02-19,Produit A,10,135,Nord
2022-02-19,Produit D,25,70,Est
